app_name,developer_name,regulated_entity,source_date,source_url,platform,app_url,raw_app_url,package_id,source_record_no,is_demo
GeM Sahay,Government Emarketplace,121 FINANCE PRIVATE LIMITED (OLD NAME YERROW FINANCE AND INVESTMENTS PRIVATE LIMITED),2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Google Android,https://play.google.com/store/apps/details?id=com.gemsahay.perfios,https://play.google.com/store/apps/details?id=com.gemsahay.perfios&hl=en,com.gemsahay.perfios,1,0
GeM Sahay,Government Emarketplace,121 FINANCE PRIVATE LIMITED (OLD NAME YERROW FINANCE AND INVESTMENTS PRIVATE LIMITED),2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,iOS App Store,?https://apps.apple.com/in/app/gem-sahay/id6502699944,?https://apps.apple.com/in/app/gem-sahay/id6502699944,,2,0
GeM Sahay,Government Emarketplace,121 FINANCE PRIVATE LIMITED (OLD NAME YERROW FINANCE AND INVESTMENTS PRIVATE LIMITED),2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Website,https://gem-sahay.perfios.com/pcg-gem/gemLogin,https://gem-sahay.perfios.com/pcg-gem/gemLogin,,3,0
360 ONE Wealth – Lending,Self Owned,360 ONE PRIME LIMITED (FORMERLY  IIFL WEALTH PRIME LIMITED AND IIFL WEALTH FINANCE LTD),2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,https://www.360.one/wealth/lending-solutionsApp store: Android,https://play.google.com/store/apps/details?id=com.one360.lending,Android App URL: https://play.google.com/store/apps/details?id=com.one360.lending,com.one360.lending,4,0
360 ONE Wealth – Lending,Self Owned,360 ONE PRIME LIMITED (FORMERLY  IIFL WEALTH PRIME LIMITED AND IIFL WEALTH FINANCE LTD),2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,https://www.360.one/wealth/lending-solutionsApp store: Apple,iOS App URL: https://apps.apple.com/in/app/360-one-wealth-lending/id6757471560,iOS App URL: https://apps.apple.com/in/app/360-one-wealth-lending/id6757471560,,5,0
4Fin,4Fin Finance Private Limited,4FIN FINANCE PRIVATE LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Google Play Store,https://play.google.com/store/apps/details?id=com.fourfinfinance.b2c,https://play.google.com/store/apps/details?id=com.fourfinfinance.b2c,com.fourfinfinance.b2c,6,0
Rupee112: Personal Loan App,Self Owned,AADHAR INDIA FINVEST LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,App Store,https://apps.apple.com/in/app/rupee112-instant-loan/id6465577336,https://apps.apple.com/in/app/rupee112-instant-loan/id6465577336,,7,0
Rupee112: Personal Loan App,Self Owned,AADHAR INDIA FINVEST LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Google Play Store,https://play.google.com/store/apps/details?id=com.vrindafinlease.rupee112,https://play.google.com/store/apps/details?id=com.vrindafinlease.rupee112,com.vrindafinlease.rupee112,8,0
Rupee112: Personal Loan App,Self Owned,AADHAR INDIA FINVEST LIMITED,2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,Website,https://www.rupee112.com/,https://www.rupee112.com/,,9,0
MyMoneyBazaar,My Money Bazaar India Private Limited,"AASRA FINCORP PRIVATE LIMITED (NAME CHANGED ON MAY 14, 2019)",2026-09-25,https://data.rbi.org.in/BOE/OpenDocument/opendoc/custom.jsp?iDocID=ARfEgy.WNSVIvFfvSIVmBCw&sIDType=CUID,MyMoneyBazaar,https://mymoneybazaar.com/,https://mymoneybazaar.com/,,10,0
