Sr. No,Entity Name,Website of RE,Entity Type,Name of the DLA,Name of the owner of DLA (Self-owned/ name of LSP in case DLA is of LSP),Available on (Website/ Name of app store),Link to DLA
1,121 FINANCE PRIVATE LIMITED (OLD NAME YERROW FINANCE AND INVESTMENTS PRIVATE LIMITED),https://121finance.com,NBFC,GeM Sahay,Government Emarketplace,Google Android, https://play.google.com/store/apps/details?id=com.gemsahay.perfios&hl=en
2,,https://121finance.com,NBFC,GeM Sahay,Government Emarketplace,iOS App Store,?https://apps.apple.com/in/app/gem-sahay/id6502699944
3,,https://121finance.com,NBFC,GeM Sahay,Government Emarketplace,Website,https://gem-sahay.perfios.com/pcg-gem/gemLogin
4,360 ONE PRIME LIMITED (FORMERLY  IIFL WEALTH PRIME LIMITED AND IIFL WEALTH FINANCE LTD) ,https://www.360.one/wealth/lending-solutions,NBFC,360 ONE Wealth – Lending,Self Owned,https://www.360.one/wealth/lending-solutionsApp store: Android,Android App URL: https://play.google.com/store/apps/details?id=com.one360.lending
5,,https://www.360.one/wealth/lending-solutions,NBFC,360 ONE Wealth – Lending,Self Owned,https://www.360.one/wealth/lending-solutionsApp store: Apple,iOS App URL: https://apps.apple.com/in/app/360-one-wealth-lending/id6757471560
6,4FIN FINANCE PRIVATE LIMITED,https://4fin.in/,NBFC,4Fin,4Fin Finance Private Limited,Google Play Store,https://play.google.com/store/apps/details?id=com.fourfinfinance.b2c
7,AADHAR INDIA FINVEST LIMITED,https://aadharindiafinvest.com/,NBFC,Rupee112: Personal Loan App,Self Owned ,App Store ,https://apps.apple.com/in/app/rupee112-instant-loan/id6465577336
8,,https://aadharindiafinvest.com/,NBFC,Rupee112: Personal Loan App,Self Owned ,Google Play Store ,https://play.google.com/store/apps/details?id=com.vrindafinlease.rupee112 
9,,https://aadharindiafinvest.com/,NBFC,Rupee112: Personal Loan App,Self Owned ,Website ,https://www.rupee112.com/ 
10,"AASRA FINCORP PRIVATE LIMITED (NAME CHANGED ON MAY 14, 2019)",aasrafincorp.com,NBFC,MyMoneyBazaar,My Money Bazaar India Private Limited,MyMoneyBazaar,https://mymoneybazaar.com/
11,,aasrafincorp.com,NBFC,MyMoneyBazaar,My Money Bazaar India Private Limited,MyMoneyBazaar,https://play.google.com/store/apps/details?id=com.my.moneybazzar
12,ABHAYKUMAR LEA-FIN & INVESTMENTS (PRIVATE) LIMITED,https://alfifinance.com,NBFC,KreditMart,KREDITMART SMARTPAY ADVISORY PRIVATE LIMITED,Website,https://kreditmart.loan
13,,https://alfifinance.com,NBFC,Kredit Mart Personal Loan App,KREDITMART SMARTPAY ADVISORY PRIVATE LIMITED,Google Play Store,https://kreditmart.loan
14,ACG LEASING LTD.,https://acgleasinglimited.com/,NBFC,Loanontip ,RRYO Private Limited ,Website,https://loanontip.com/
15,ACHIIEVERS FINANCE INDIA PRIVATE LIMITED,www.achiieversfinance.com,NBFC,ACHIIEVERS QUICK GOLD LOAN,SELF-OWNED,Google Play Store,https://play.google.com/store/apps/details?id=com.dimensions.liveloancustomerafil
16,,www.achiieversfinance.com,NBFC,ACHIIEVERS QUICK GOLD LOAN,SELF-OWNED,Website,https://www.achiieversquickgoldloan.com/apply-now/
17,,www.achiieversfinance.com,NBFC,AFIL LLC,SELF-OWNED,Web App,https://cloud40.dimensionslive.com/AFILLLC/
18,,www.achiieversfinance.com,NBFC,JHATPAT LOANS,SELF-OWNED,Google Play Store,https://play.google.com/store/apps/details?id=com.habile.cloudbankin.achiievers&pcampaignid=web_share
19,,www.achiieversfinance.com,NBFC,JHATPAT LOANS,SELF-OWNED,IndusApp,https://www.indusappstore.com/apps/finance/jhatpat-loans/com.habile.cloudbankin.achiievers/?page=details&id=com.habile.cloudbankin.achiievers
20,,www.achiieversfinance.com,NBFC,JHATPAT LOANS,SELF-OWNED,Web App,https://webapp.jhatpatloans.com/onboard/#/login/borrower
21,,www.achiieversfinance.com,NBFC,JHATPAT LOANS,SELF-OWNED,Website,https://www.jhatpatloans.com/apply-loan
22,ACOLYTE FINSERV LIMITED (EARLIER KNOWN AS GAGAN METALS LIMITED),www.acolytefinserv.com.com,NBFC,Borrowera,Self Owned,https://www.borrowera.com/,https://www.borrowera.com/
23,,www.acolytefinserv.com.com,NBFC,Credxpres,Self Owned,https://credxpres.com/,https://credxpres.com/
24,,www.acolytefinserv.com.com,NBFC,Instant Paise,Self Owned,https://instantpaise.com/,https://instantpaise.com/
25,,www.acolytefinserv.com.com,NBFC,Loanfinserve,Self Owned,https://www.loanfinserve.com/,https://www.loanfinserve.com/
26,,www.acolytefinserv.com.com,NBFC,Loan Mitraa,Self Owned,https://loanmitraa.com/,https://loanmitraa.com/
27,,www.acolytefinserv.com.com,NBFC,Moneywalle,Self Owned,https://moneywalle.com/,https://moneywalle.com/
28,,www.acolytefinserv.com.com,NBFC,Perfect Paisa,Self Owned,https://perfect-paisa.com/,https://perfect-paisa.com/
29,ADITSH FINTECH PRIVATE LIMITED,https://aditshfintech.com/,NBFC,Blink Credit,FINOVATEX TECHNOLOGIES PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.core.service.safe.cred.link.pro.ncin.app
30,ADITYA BIRLA CAPITAL LIMITED (MERGED WITH ADITYA BIRLA FINANCE LIMITED),https://www.adityabirlacapital.com/,NBFC,Digital Eco system,Udyog Plus Digital Journey - ABCL,Website,https://udyogplus.adityabirlacapital.com/login?url=/instant-business-loan
31,,??https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Aditya Birla Capital Digital?,?Aditya Birla Capital Digital?Limited,Apple App store,https://apps.apple.com/in/app/abcd-aditya-birla-capital-app/id6477909524
32,,??https://www.adityabirlacapital.com/loans/our-digital-lending-platform-partners,NBFC,Aditya Birla Capital Digital?,?Aditya Birla Capital Digital?Limited,Google Play Store,ABCD Aditya Birla Capital - Apps on Google Play
