app_name,developer_name,group_label,directory_status,source_url,app_url,contacts_permission,call_logs_permission,sms_permission,media_permission,named_regulated_lender,apr_disclosed,developer_website_present,physical_address_present,company_email_domain,app_age_days,days_since_update,installs,rating,complaint_rate,name_similarity,feature_source_date,feature_source_note,collection_status
Lendingkart Android Mobile App,LENDINGKART FINANCE LIMITED (FORMERLY AADRI INFIN LIMITED),Verified,Listed,https://play.google.com/store/apps/details?id=com.LendingKart&hl=en_IN&pli=1,https://play.google.com/store/apps/details?id=com.LendingKart&hl=en_IN&pli=1,,,,,,,,,,,,,,,,,,Pending
BankSathi,BS Fintech Private Limited,Verified,Listed,https://play.google.com/store/apps/details?id=com.app.banksathi,https://play.google.com/store/apps/details?id=com.app.banksathi,,,,,,,,,,,,,,,,,,Pending
Android -Kotak Bank (Old),KOTAK MAHINDRA BANK LTD.,Verified,Listed,https://ktkbank.page.link/ANPLCC,https://ktkbank.page.link/ANPLCC,,,,,,,,,,,,,,,,,,Pending
SN Insta Personal Advance Loan,ZED LEAFIN PVT. LTD.,Verified,Listed,https://play.google.com/store/apps/details?id=com.kksv.salarynowloan,https://play.google.com/store/apps/details?id=com.kksv.salarynowloan,,,,,,,,,,,,,,,,,,Pending
CashPey – India’s Own Loan App,CashPey – India’s Own Loan App,Verified,Listed,https://play.google.com/store/apps/details?id=com.cashpey,https://play.google.com/store/apps/details?id=com.cashpey,,,,,,,,,,,,,,,,,,Pending
LoanVanta,KONSALA SUPER TECHNOLOGY PRIVATE LIMITED,Verified,Listed,https://play.google.com/store/apps/details?id=com.credit.konsala.loanvanta.loc.service,https://play.google.com/store/apps/details?id=com.credit.konsala.loanvanta.loc.service,,,,,,,,,,,,,,,,,,Pending
Digital Education Loan,PUNJAB NATIONAL BANK,Verified,Listed,https://digiel.pnb.bank.in/#/education-home,https://digiel.pnb.bank.in/#/education-home,,,,,,,,,,,,,,,,,,Pending
HDFC Bank Mobile Banking App,HDFC BANK LTD.,Verified,Listed,https://play.google.com/store/apps/details?id=com.hdfcbank.android.now&pcampaignid=web_shareApp,https://play.google.com/store/apps/details?id=com.hdfcbank.android.now&pcampaignid=web_shareApp,,,,,,,,,,,,,,,,,,Pending
Pre-Qualified Credit Card (PQCC),PUNJAB NATIONAL BANK,Verified,Listed,PNB?One App,PNB?One App,,,,,,,,,,,,,,,,,,Pending
iMobile (Android),ICICI BANK LIMITED,Verified,Listed,https://play.google.com/store/apps/details?id=com.csam.icici.bank.imobile,https://play.google.com/store/apps/details?id=com.csam.icici.bank.imobile,,,,,,,,,,,,,,,,,,Pending
Petticash,BT Finance Pvt Ltd,Verified,Listed,https://play.google.com/store/apps/details?id=in.mobilemoney.finance&hl=en_IN,https://play.google.com/store/apps/details?id=in.mobilemoney.finance&hl=en_IN,,,,,,,,,,,,,,,,,,Pending
Blink Credit,FINOVATEX TECHNOLOGIES PRIVATE LIMITED,Verified,Listed,https://play.google.com/store/apps/details?id=com.core.service.safe.cred.link.pro.ncin.app,https://play.google.com/store/apps/details?id=com.core.service.safe.cred.link.pro.ncin.app,,,,,,,,,,,,,,,,,,Pending
Oolka,Sixdis Technologies Private Limited,Verified,Listed,https://play.google.com/store/apps/details?id=app.oolka.com&hl=en_IN,https://play.google.com/store/apps/details?id=app.oolka.com&hl=en_IN,,,,,,,,,,,,,,,,,,Pending
CashNandi - Instant Loan App,NAPEAN FINVEST PVT. LTD.,Verified,Listed,https://play.google.com/store/apps/details?id=com.cash.nandi.instan.loan.app,https://play.google.com/store/apps/details?id=com.cash.nandi.instan.loan.app,,,,,,,,,,,,,,,,,,Pending
