app_name,developer_name,label,directory_status,evidence_type,evidence_source,evidence_date,evidence_note,reviewed_by,reviewed_on
ActLoan,,Risky,Not listed (exact-name check against project RBI copy),RBI enforcement action / NBFC CoR cancellation,https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57801,2024-04-29,"RBI press release names this app among digital lending services/mobile apps used in Acemoney (India) Limited's digital lending operations; the company's Certificate of Registration was cancelled for violations including digital-lending outsourcing/code-of-conduct issues, excessive interest and customer confidentiality.",Project team,2026-09-24
AgMoney,,Risky,Not listed (exact-name check against project RBI copy),RBI enforcement action / NBFC CoR cancellation,https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57801,2024-04-29,"RBI press release names this app among digital lending services/mobile apps used in Acemoney (India) Limited's digital lending operations; the company's Certificate of Registration was cancelled for violations including digital-lending outsourcing/code-of-conduct issues, excessive interest and customer confidentiality.",Project team,2026-09-24
NiceCash,,Risky,Not listed (exact-name check against project RBI copy),RBI enforcement action / NBFC CoR cancellation,https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57801,2024-04-29,"RBI press release names this app among digital lending services/mobile apps used in Acemoney (India) Limited's digital lending operations; the company's Certificate of Registration was cancelled for violations including digital-lending outsourcing/code-of-conduct issues, excessive interest and customer confidentiality.",Project team,2026-09-24
CashLender,,Risky,Not listed (exact-name check against project RBI copy),RBI enforcement action / NBFC CoR cancellation,https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57801,2024-04-29,"RBI press release names this app among digital lending services/mobile apps used in Acemoney (India) Limited's digital lending operations; the company's Certificate of Registration was cancelled for violations including digital-lending outsourcing/code-of-conduct issues, excessive interest and customer confidentiality.",Project team,2026-09-24
QuickRupee,,Risky,Not listed (exact-name check against project RBI copy),RBI enforcement action / NBFC CoR cancellation,https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57801,2024-04-29,"RBI press release names this app among digital lending services/mobile apps used in Acemoney (India) Limited's digital lending operations; the company's Certificate of Registration was cancelled for violations including digital-lending outsourcing/code-of-conduct issues, excessive interest and customer confidentiality.",Project team,2026-09-24
leading cash,,Risky,Not listed (exact-name check against project RBI copy),RBI enforcement action / NBFC CoR cancellation,https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57801,2024-04-29,"RBI press release names this app among digital lending services/mobile apps used in Acemoney (India) Limited's digital lending operations; the company's Certificate of Registration was cancelled for violations including digital-lending outsourcing/code-of-conduct issues, excessive interest and customer confidentiality.",Project team,2026-09-24
TopCash,,Risky,Not listed (exact-name check against project RBI copy),RBI enforcement action / NBFC CoR cancellation,https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57801,2024-04-29,"RBI press release names this app among digital lending services/mobile apps used in Acemoney (India) Limited's digital lending operations; the company's Certificate of Registration was cancelled for violations including digital-lending outsourcing/code-of-conduct issues, excessive interest and customer confidentiality.",Project team,2026-09-24
CreditEasy,,Risky,Not listed (exact-name check against project RBI copy),RBI enforcement action / NBFC CoR cancellation,https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57801,2024-04-29,"RBI press release names this app among digital lending services/mobile apps used in Acemoney (India) Limited's digital lending operations; the company's Certificate of Registration was cancelled for violations including digital-lending outsourcing/code-of-conduct issues, excessive interest and customer confidentiality.",Project team,2026-09-24
InhanCash,,Risky,Not listed (exact-name check against project RBI copy),RBI enforcement action / NBFC CoR cancellation,https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57801,2024-04-29,"RBI press release names this app among digital lending services/mobile apps used in Acemoney (India) Limited's digital lending operations; the company's Certificate of Registration was cancelled for violations including digital-lending outsourcing/code-of-conduct issues, excessive interest and customer confidentiality.",Project team,2026-09-24
KeyBorrow,,Risky,Not listed (exact-name check against project RBI copy),RBI enforcement action / NBFC CoR cancellation,https://www.rbi.org.in/scripts/FS_PressRelease.aspx?prid=57801,2024-04-29,"RBI press release names this app among digital lending services/mobile apps used in Acemoney (India) Limited's digital lending operations; the company's Certificate of Registration was cancelled for violations including digital-lending outsourcing/code-of-conduct issues, excessive interest and customer confidentiality.",Project team,2026-09-24
