app_name,developer_name,regulated_entity,platform,app_url,directory_status,candidate_group,feature_collection_status,notes
Lendingkart Android Mobile App,LENDINGKART FINANCE LIMITED (FORMERLY AADRI INFIN LIMITED),LENDINGKART FINANCE LIMITED (FORMERLY AADRI INFIN LIMITED),Google Play Store,https://play.google.com/store/apps/details?id=com.LendingKart&hl=en_IN&pli=1,Listed,Verified,Pending,
BankSathi,BS Fintech Private Limited,INCRED FINANCIAL SERVICES LIMITED (FORMERLY KKR INDIA FINANCIAL SERVICES LTD),Google Play Store,https://play.google.com/store/apps/details?id=com.app.banksathi,Listed,Verified,Pending,
Android -Kotak Bank (Old),KOTAK MAHINDRA BANK LTD.,KOTAK MAHINDRA BANK LTD.,Google Play Store,https://ktkbank.page.link/ANPLCC,Listed,Verified,Pending,
SN Insta Personal Advance Loan,ZED LEAFIN PVT. LTD.,ZED LEAFIN PVT. LTD.,Google Play Store,https://play.google.com/store/apps/details?id=com.kksv.salarynowloan,Listed,Verified,Pending,
CashPey – India’s Own Loan App,CashPey – India’s Own Loan App,DIGNER FINLEASE & INVESTMENT PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.cashpey,Listed,Verified,Pending,
LoanVanta,KONSALA SUPER TECHNOLOGY PRIVATE LIMITED,S.B.N. LEASING AND FINANCE LTD.,Google Play Store,https://play.google.com/store/apps/details?id=com.credit.konsala.loanvanta.loc.service,Listed,Verified,Pending,
Digital Education Loan,PUNJAB NATIONAL BANK,PUNJAB NATIONAL BANK,Google Play Store,https://digiel.pnb.bank.in/#/education-home,Listed,Verified,Pending,
HDFC Bank Mobile Banking App,HDFC BANK LTD.,HDFC BANK LTD.,Google Play Store,https://play.google.com/store/apps/details?id=com.hdfcbank.android.now&pcampaignid=web_shareApp,Listed,Verified,Pending,
Pre-Qualified Credit Card (PQCC),PUNJAB NATIONAL BANK,PUNJAB NATIONAL BANK,Google Play Store,PNB?One App,Listed,Verified,Pending,
iMobile (Android),ICICI BANK LIMITED,ICICI BANK LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.csam.icici.bank.imobile,Listed,Verified,Pending,
Petticash,BT Finance Pvt Ltd,BT FINANCE PRIVATE LIMITED (EARLIER KNOWN AS VANDEEP SUPPLIERS PRIVATE LIMITED),Google Play Store,https://play.google.com/store/apps/details?id=in.mobilemoney.finance&hl=en_IN,Listed,Verified,Pending,
Blink Credit,FINOVATEX TECHNOLOGIES PRIVATE LIMITED,ADITSH FINTECH PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.core.service.safe.cred.link.pro.ncin.app,Listed,Verified,Pending,
Oolka,Sixdis Technologies Private Limited,INCRED FINANCIAL SERVICES LIMITED (FORMERLY KKR INDIA FINANCIAL SERVICES LTD),Google Play Store,https://play.google.com/store/apps/details?id=app.oolka.com&hl=en_IN,Listed,Verified,Pending,
CashNandi - Instant Loan App,NAPEAN FINVEST PVT. LTD.,NAPEAN FINVEST PVT. LTD.,Google Play Store,https://play.google.com/store/apps/details?id=com.cash.nandi.instan.loan.app,Listed,Verified,Pending,
JHATPAT LOANS,ACHIIEVERS FINANCE INDIA PRIVATE LIMITED,ACHIIEVERS FINANCE INDIA PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.habile.cloudbankin.achiievers&pcampaignid=web_share,Listed,Verified,Pending,
Money Monk App,MONK CAPITAL PVT. LTD. (FORMERLY GLAZE BARTER PVT. LTD.),MONK CAPITAL PVT. LTD. (FORMERLY GLAZE BARTER PVT. LTD.),Google Play Store,https://play.google.com/store/apps/details?id=com.monkCapital.moneyMonk&hl=en_IN,Listed,Verified,Pending,
PayZapp,HDFC BANK LTD.,HDFC BANK LTD.,Google Play Store,https://v.hdfc.bank.in/payzapp/index.html,Listed,Verified,Pending,
NYE,Rapipay Fintech Private Limited,CAPITAL INDIA FINANCE LIMITED,Google Play Store,https://in.rapipay.com,Listed,Verified,Pending,
Toyota Finance,TOYOTA FINANCIAL SERVICES INDIA LIMITED,TOYOTA FINANCIAL SERVICES INDIA LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.toyotafinance.projectvikram,Listed,Verified,Pending,
FriendLoan - 1hr Business Loan,SAMPATHI CREDITS PRIVATE LIMITED,SAMPATHI CREDITS PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=in.fl.loan,Listed,Verified,Pending,
Airpay Capital,Airpay Payment Services Private Limited,APOLLO FINVEST (INDIA) LTD.,Google Play Store,https://play.google.com/store/apps/details?id=com.airpay.capital&hl=en_IN,Listed,Verified,Pending,
MCFL Loans,MANGAL CREDIT AND FINCORP LIMITED,MANGAL CREDIT AND FINCORP LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.mangalgoldloan,Listed,Verified,Pending,
CreditFIT App,Creditmantri Finserve Private Limited,SHRIRAM FINANCE LIMITED (FORMERLY SHRIRAM TRANSPORT FINANCE COMPANY LIMITED),Google Play Store,https://play.google.com/store/apps/details?id=com.creditmantri,Listed,Verified,Pending,
salary24x7,Finovel Fintech Private Limited,SWADHA FINLEASE PRIVATE LIMITED *,Google Play Store,https://play.google.com/store/apps/details?id=com.merusphere.salary247.borrower&pcampaignid=web_share,Listed,Verified,Pending,
Upwards,LENDINGKART FINANCE LIMITED (FORMERLY AADRI INFIN LIMITED),LENDINGKART FINANCE LIMITED (FORMERLY AADRI INFIN LIMITED),Google Play Store,https://play.google.com/store/apps/details?id=com.goupwards&hl=en_IN&pli=1,Listed,Verified,Pending,
MidFin Customer Service App,MIDLAND MICROFIN LIMITED (FORMERLY SAJAN HIRE PURCHASE LIMITED),MIDLAND MICROFIN LIMITED (FORMERLY SAJAN HIRE PURCHASE LIMITED),Google Play Store,https://play.google.com/store/apps/details?id=com.microfin.midland&hl=en_IN,Listed,Verified,Pending,
Ninja Global Import Export,Ninjacart Services Private Limited,RESILIENT FINANCE PRIVATE LIMITED (EARLIER KNOWN AS TRILLIONLOANS FINTECH PRIVATE LIMITED),Google Play Store,https://play.google.com/store/apps/details?id=com.ninja.ninjaglobal&pli=1,Listed,Verified,Pending,
Loan against Mutual Funds,CITY UNION BANK LIMITED,CITY UNION BANK LIMITED,Google Play Store,https://las.cityunionbank.in,Listed,Verified,Pending,
Kissht,OnEMI Technologies Solutions Limited,ADITYA BIRLA CAPITAL LIMITED (MERGED WITH ADITYA BIRLA FINANCE LIMITED),Google Play Store,Kissht: Instant Personal Loans - Apps on Google Play,Listed,Verified,Pending,
ZenLyfe Loan against Deposit( Mobile Banking App ),BANK OF MAHARASHTRA,BANK OF MAHARASHTRA,Google Play Store,Available in Play Store / App Store,Listed,Verified,Pending,
AU 0101 Business - Mobile Banking,AU SMALL FINANCE BANK LIMITED,AU SMALL FINANCE BANK LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.au.mrct,Listed,Verified,Pending,
Get it Now,Kapiital kapslock Private Limited,AMARAVATHI FINANCIAL SOLUTIONS PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.kapiital.getitnow&hl=en_IN,Listed,Verified,Pending,
Branch International Financial Services Private Limited,Branch International Financial Services Private Limited,BRANCH INTERNATIONAL FINANCIAL SERVICES PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.branch_international.branch.branch_demo_android&referrer=utm_source=IN_Website&utm_medium=CTA_Click&utm_term=CTA_click&gl=in,Listed,Verified,Pending,
WeRize Customer App,Wortgage Technologies Pvt Ltd,AMBIT FINVEST PVT. LTD. (FORMERLY - AMBIT RETAIL FINANCE PVT. LTD.),Google Play Store,https://play.google.com/store/apps/details?id=com.moneyonclick.customerapp,Listed,Verified,Pending,
Kredit Mart Personal Loan App,KREDITMART SMARTPAY ADVISORY PRIVATE LIMITED,ABHAYKUMAR LEA-FIN & INVESTMENTS (PRIVATE) LIMITED,Google Play Store,https://kreditmart.loan,Listed,Verified,Pending,
Grameen MAHI,CREDITACCESS GRAMEEN LIMITED,CREDITACCESS GRAMEEN LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.creditaccessgrameen.mahi&hl=en_IN,Listed,Verified,Pending,
Cover Mantra,CoverMantra Services Private Limited,FDPL FINANCE PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.covermantra.loan,Listed,Verified,Pending,
Asirvad Online Gold Loan (OGL),ASIRVAD MICRO FINANCE LIMITED,ASIRVAD MICRO FINANCE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.asirvadogl,Listed,Verified,Pending,
SIB Mirror +,SIB,SOUTH INDIAN BANK LTD,Google Play Store,www.southindianbank.com,Listed,Verified,Pending,
Loan10minute,UNICAP INVESTMENTS PRIVATE LIMITED,UNICAP INVESTMENTS PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.unicap.loan10minute,Listed,Verified,Pending,
Paisa108,Paisa 108 Private Limited,DYTRON FINVEST PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=app.paisa108.com,Listed,Verified,Pending,
SPEEL FINANCE COMPANY PRIVATE LIMITED,SPEEL FINANCE CO P LTD.,SPEEL FINANCE CO P LTD.,Google Play Store,https://play.google.com/store/apps/details?id=com.pocketly,Listed,Verified,Pending,
Bahi Khata Loans,Ninjamonk Proptech Pvt Ltd,RESPO FINANCIAL CAPITAL PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.bahikhata&hl=en_IN,Listed,Verified,Pending,
Samsung Finance+,Samsung India Electronics Private Ltd.,DMI FINANCE PVT LTD.,Google Play Store,https://play.google.com/store/apps/details?id=com.samsung.android.samsungsure&gl=in,Listed,Verified,Pending,
GetCred,Aryaman Finance (India) Limited,ARYAMAN FINANCE (INDIA) LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.personalloanapp,Listed,Verified,Pending,
WeCredit,QuantumX Global Private Limited,FDPL FINANCE PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.wecredit.Wecredit&hl=en_IN,Listed,Verified,Pending,
Finnable: Personal Loan App,Finnable Credit Limited,AXIS BANK LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.finnable.customer&hl=en_IN,Listed,Verified,Pending,
Cashone,S.B.N. LEASING AND FINANCE LTD.,S.B.N. LEASING AND FINANCE LTD.,Google Play Store,https://play.google.com/store/apps/details?id=com.sbnnbfc.cashone,Listed,Verified,Pending,
Abhicash,Abhicash Infotech Private Limited,C.N.M.P. INVESTMENTS PVT.LTD.,Google Play Store,https://play.google.com/store/apps/details?id=com.abhicash.abhicashapp&hl=en,Listed,Verified,Pending,
BRIDGE,ZAVO NEXUS PRIVATE LIMITED,PADMALAYA FINSERVE PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.bridge.capital.app,Listed,Verified,Pending,
Oro Money,Orocorp Technologies Pvt ltd,KUMBHAT FINANCIAL SERVICES LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=in.orocorp.customer,Listed,Verified,Pending,
Kredmint,Kredmint Technologies Private Limited,MUTHOOT FINCORP LIMITED (FORMERLY MUTHOOT DEBT MANAGEMENT SERVICES LTD),Google Play Store,https://play.google.com/store/apps/details?id=com.schn9891.onecodewebnew&hl=en_IN,Listed,Verified,Pending,
Rupeeredee,MONEYMITRA IT SOLUTIONS PRIVATE LIMITED,"FINCFRIENDS PRIVATE LIMITED (REISSUED ON DECEMBER 24, 2018)",Google Play Store,https://play.google.com/store/apps/details?id=com.rupeeredee.app,Listed,Verified,Pending,
MyShubhLife,Datasigns Technologies Private Limited,UGRO CAPITAL LIMITED (PREVIOUSLY CHOKHANI SECURITIES LIMITED),Google Play Store,https://play.google.com/store/apps/details?id=com.datasignstech.lam&hl=en&gl=IN,Listed,Verified,Pending,
LoanArambh,MIRRAQUIX TECHNOLOGIES PRIVATE LIMITED,S.B.N. LEASING AND FINANCE LTD.,Google Play Store,https://play.google.com/store/apps/details?id=com.app.loanarambh.india.cash,Listed,Verified,Pending,
Unity Small Finance Bank APP,Unity Small Finance Bank Limited,UNITY SMALL FINANCE BANK LIMITED,Google Play Store,https://apps.apple.com/in/app/unity-bank-fd-savings-account/id6450705139,Listed,Verified,Pending,
FixoFin,AMMO Digital LLP,FDPL FINANCE PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=ammodigital.fixofin,Listed,Verified,Pending,
50fin: Loan Against Securities App,Fifty Fintech Pvt. Ltd,BAJAJ FINANCE LTD.,Google Play Store,https://play.google.com/store/apps/details?id=com.fiftyfin.app,Listed,Verified,Pending,
Salary112,CREDITBRIDGE TECHNOLOGIES LLP,S R CAPITAL SERVICES PVT. LTD.,Google Play Store,https://play.google.com/store/apps/details?id=com.vimanotech.salary112,Listed,Verified,Pending,
DMI Finance app,DMI FINANCE PVT LTD.,DMI FINANCE PVT LTD.,Google Play Store,https://play.google.com/store/apps/details?id=in.dmifinance.app&hl=en_IN,Listed,Verified,Pending,
Unnatti,Unnatti Finserv Private Limited,MAS FINANCIAL SERVICES LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.uinvestment.app.unnatii,Listed,Verified,Pending,
Paytm-MSME,One97 Communications Limited,SURYODAY SMALL FINANCE BANK LIMITED,Google Play Store,https://apps.apple.com/in/app/paytm-for-business/id1351301966,Listed,Verified,Pending,
DRONA,SATYA MICROCAPITAL LTD,SATYA MICROCAPITAL LIMITED,Google Play Store,play.google.com/store/apps/details?id=com.satyamicrocapital.app,Listed,Verified,Pending,
Buddyloan,BVALUE SERVICES PRIVATE LIMITED -Buddyloan,LENDINGKART FINANCE LIMITED (FORMERLY AADRI INFIN LIMITED),Google Play Store,https://play.google.com/store/apps/details?id=com.buddyloan.vls,Listed,Verified,Pending,
Tide,Tide Platform Private Limited -Tide,LENDINGKART FINANCE LIMITED (FORMERLY AADRI INFIN LIMITED),Google Play Store,https://play.google.com/store/apps/details?id=co.tide.tideplatform.in&hl=en_IN&pli=1,Listed,Verified,Pending,
CredMe,Delviant AI Labs Private Limited,EXUDE VINCOM PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.delviant.credme,Listed,Verified,Pending,
Nobroker Instacash,Nobroker Technologies Solutions Private Limited,EARLYSALARY SERVICES PRIVATE LIMITED (OLD NAME ASHISH SECURITIES PVT. LTD.),Google Play Store,https://play.google.com/store/apps/details?id=com.nobroker.loans&hl=en_IN,Listed,Verified,Pending,
IFHL,Daksfirst India Finance House Private Limited,KOMAC INVESTMENTS & FINANCE PVT. LTD.,Google Play Store,https://play.google.com/store/apps/details?id=com.ifhl,Listed,Verified,Pending,
ShubhLoan-Personal Loan App,LUCKY HOLDINGS PVT. LTD.,LUCKY HOLDINGS PVT. LTD.,Google Play Store,https://play.google.com/store/apps/details?id=com.shubewzgty.werbfys.rtuca,Listed,Verified,Pending,
Equall,LTCV Credit Private Limited,LTCV CREDIT PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=in.co.equall&hl=en,Listed,Verified,Pending,
Fixrupee,CRONBAY TECHNOLOGIES PRIVATE LIMITED,AVINASH CAPITAL MARKETS PVT. LTD.,Google Play Store,https://play.google.com/store/apps/details?id=com.fixrupee.twa,Listed,Verified,Pending,
Velicham,Velicham Finance Private Limited,UGRO CAPITAL LIMITED (PREVIOUSLY CHOKHANI SECURITIES LIMITED),Google Play Store,https://play.google.com/store/apps/details?id=com.velichamfinance.customer,Listed,Verified,Pending,
SMC Gold Loan,MONEYWISE FINANCIAL SERVICES PRIVATE LIMITED,MONEYWISE FINANCIAL SERVICES PRIVATE LIMITED,Google Play Store,https://play.google.com/store/search?q=smc+gold+loan&c=apps&hl=en_IN,Listed,Verified,Pending,
Mybank – Android version,RBL BANK LTD,RBL BANK LTD,Google Play Store,https://play.google.com/store/apps/details?id=com.rblbank.mobank,Listed,Verified,Pending,
Upwards by Lendingkart.,Lendingkart Technologies Private Limited,HARI AND COMPANY INVESTMENTS MADRAS PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.goupwards&gl=IN,Listed,Verified,Pending,
